"name","top.i","bottom.i","top.c","bottom.c","top.pm","bottom.pm","top.m","bottom.m"
NA,1,1,1,1,0.75,0.75,0.5,0.5
NA,0.6,0.75,1,1,1,1,0.375,0.375
NA,0.6,0.5,1,0,0.75,0.75,0.375,0.375
NA,0.6,0.75,1,1,1,1,0.375,0.375
NA,0.4,0.75,1,1,0.75,0.75,0.375,0.375
NA,0.4,0.75,1,1,0.5,0.75,0.375,0.375
NA,0.4,0.75,1,1,0.5,0.5,0.375,0.375
NA,0.4,0.75,1,1,0.25,0.5,0.375,0.375
NA,0.2,0.75,1,1,0.5,0.5,0.375,0.375
NA,0.2,0.75,1,1,0.5,0.5,0.375,0.375
NA,0.4,0.75,1,1,0.5,0.75,0.375,0.375
NA,0,0,0,0,0,0,1,1
NA,0.4,0.25,0,0,0.5,0.5,0.375,0.375
NA,0.4,0.25,0,0,0.75,0.5,0.375,0.375
NA,0.2,0.25,0,0,0.5,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.5,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.5,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.5,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.5,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.5,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.25,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.25,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.25,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.25,0.25,0.375,0.375
NA,0.2,0.25,0,0,0,0,0.375,0.375
NA,0.2,0.25,0,0,0,0,0.375,0.375
NA,0.2,0.25,0,0,0,0,0.375,0.375
NA,0.2,0.25,0,0,0,0,0.375,0.375
NA,0.2,0.25,0,0,0,0,0.375,0.375
NA,0.2,0.25,0,0,0.25,0.25,0.375,0.375
NA,0.2,0.25,0,0,0.25,0.25,0.375,0.375
NA,0.2,0.75,1,1,1,1,0.375,0.375
NA,0.6,0.75,1,1,1,1,0.25,0.375
NA,0.6,0.75,1,1,1,1,0.25,0.375
NA,0.6,0.75,1,1,1,1,0.25,0.375
NA,0.6,0.75,1,1,1,1,0.25,0.25
NA,0.6,0.75,1,1,1,1,0.375,0.25
NA,0.6,0.75,1,1,1,1,0.125,0.25
NA,0.6,0.75,1,1,1,1,0.125,0.25
NA,0.6,0.75,1,1,0.75,0.75,0.125,0.25
NA,0.6,0.75,1,1,0.75,0.75,0.125,0.25
NA,0.6,0.75,1,1,0.75,0.75,0.125,0.25
NA,0.6,0.75,1,1,1,1,0.125,0.25
NA,0.6,0.75,1,1,0.75,0.75,0.125,0.25
NA,0.6,0.75,1,1,0.75,0.75,0.125,0.25
NA,0.6,0.75,1,1,1,0.75,0.125,0.25
NA,0.6,0.5,1,1,0.75,0.75,0.125,0.25
NA,0.6,0.75,1,1,0.75,0.5,0.125,0.125
NA,0.6,0.75,1,1,0.75,0.5,0.125,0.125
NA,0.6,0.75,1,1,0.75,0.5,0.125,0.125
NA,0.6,0.75,1,1,0.75,0.5,0.125,0.125
NA,0.6,0.5,1,1,1,1,0.125,0.125
NA,0.6,0.5,1,1,1,1,0.125,0.125
NA,0.2,0,1,1,0.75,0.75,0,0
NA,0.6,0.5,1,1,0.75,0.75,0.25,0.25
NA,0.4,0.25,1,1,1,1,0.125,0.125
NA,0.4,0.75,1,1,0.75,0.75,0.375,0.375
NA,0,1,1,0,0.75,0.75,0.375,0.375
NA,0,1,0,0,0.75,0.75,0.375,0.375
NA,0,1,0,0,0.75,0.75,0.375,0.375
NA,0,1,1,0,0.75,0.75,0.375,0.375
NA,0,1,0,0,0.75,0.75,0.375,0.375
NA,0,1,0,0,0.75,0.75,0.375,0.375
NA,0,1,0,0,0.75,0.75,0.375,0.375
NA,0,1,0,0,0.75,0.75,0.375,0.375
NA,0,1,0,0,0.75,0.75,0.375,0.375
